field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,,,,,%time  1759798013049710000
-0.001704657,-0.012528899,0.876986772,-0.480348126,0.026208617,-0.310258175,-0.42877002,,,,,1.76E+18
-0.001617743,-0.01270595,0.876969965,-0.48037446,0.031094877,-0.27343184,-0.600846161,,,,,1.76E+18
-0.001663686,-0.012698865,0.876939937,-0.480429305,0.038932588,-0.268670926,-0.684761701,,,,,1.76E+18
-0.001736947,-0.01262131,0.876930899,-0.480447587,0.0371904,-0.117081614,-0.668641055,,,,,1.76E+18
-0.001970812,-0.012497236,0.876917726,-0.480473971,0.039033428,-0.023400814,-0.590398631,,,,,1.76E+18
-0.002243596,-0.012328156,0.87689427,-0.480519951,0.031965263,-0.20382744,-0.474203326,,,,,1.76E+18
-0.002399545,-0.01210888,0.876862196,-0.480583298,0.017376089,0.059285855,-0.049591835,,,,,1.76E+18
-0.002549457,-0.011857301,0.876799981,-0.480702297,0.007258451,0.078525494,0.193466161,,,,,1.76E+18
-0.002597023,-0.011659826,0.87672337,-0.480846583,0.001501106,-0.020236129,0.30302837,,,,,1.76E+18
-0.002673127,-0.011467301,0.87668518,-0.480920421,0.005294186,0.07212336,0.192384053,,,,,1.76E+18
-0.002768295,-0.01135431,0.876672739,-0.480945241,-0.00812851,-0.06041442,0.154961979,,,,,1.76E+18
-0.002672387,-0.011420798,0.876697355,-0.480899335,-0.010058052,-0.233569287,-0.175979666,,,,,1.76E+18
-0.002650046,-0.011462305,0.876746241,-0.48080934,-0.006223812,-0.085159761,-0.357764394,,,,,1.76E+18
-0.002686083,-0.01144646,0.876780732,-0.480746619,-0.003958418,-0.075646132,-0.282560942,,,,,1.76E+18
-0.002775432,-0.011424308,0.876783334,-0.480741893,0.0010089,-0.200624999,-0.204824923,,,,,1.76E+18
-0.002916481,-0.011358904,0.876754756,-0.480794725,0.007097528,-0.23191924,-0.110175593,,,,,1.76E+18
-0.003053042,-0.011273594,0.876697631,-0.480900041,0.014209042,-0.207859799,-0.047698539,,,,,1.76E+18
-0.003144863,-0.011215244,0.876643306,-0.480999836,0.015995111,-0.17344229,-0.070152896,,,,,1.76E+18
-0.003202019,-0.011128884,0.876578199,-0.481120106,0.020526761,-0.088095564,-0.053534357,,,,,1.76E+18
-0.003231111,-0.011027642,0.876492072,-0.481279128,0.025055051,-0.047135555,0.026762969,,,,,1.76E+18
-0.003237601,-0.010947103,0.876425318,-0.481402472,0.024139227,0.009343285,0.033385601,,,,,1.76E+18
-0.003266364,-0.010887705,0.876389066,-0.481469619,0.018674143,-0.027172045,-0.070907159,,,,,1.76E+18
-0.003297317,-0.010868529,0.876365641,-0.481512477,0.012647606,-0.119504789,-0.14446122,,,,,1.76E+18
-0.003315045,-0.010866275,0.876378464,-0.481489068,0.009045986,-0.086029523,-0.329124333,,,,,1.76E+18
-0.003430743,-0.010857243,0.876370544,-0.481502876,0.010575207,-0.169805339,-0.256777389,,,,,1.76E+18
-0.003492268,-0.010838334,0.876373199,-0.481498028,0.006164178,-0.129753274,-0.172869384,,,,,1.76E+18
-0.003547612,-0.010784325,0.876366385,-0.481511238,0.006223867,-0.059872196,-0.080143968,,,,,1.76E+18
-0.003551515,-0.01073749,0.876366011,-0.481512936,-0.003137098,-0.042854806,-0.01023353,,,,,1.76E+18
-0.003531528,-0.010696106,0.876382036,-0.481484838,-0.008101172,0.00696704,-0.010244666,,,,,1.76E+18
-0.00353455,-0.010704005,0.876406069,-0.481440894,-0.011807008,-0.082397852,-0.025070133,,,,,1.76E+18
-0.003477558,-0.010747793,0.876442856,-0.481373361,-0.015958782,-0.147014094,-0.075463026,,,,,1.76E+18
-0.003414659,-0.010797391,0.876487639,-0.481291155,-0.018282812,-0.104923451,-0.117377635,,,,,1.76E+18
-0.003353763,-0.010850657,0.876531958,-0.481209665,-0.016373279,-0.101001175,-0.129247953,,,,,1.76E+18
-0.003320077,-0.01089424,0.876575792,-0.481129062,-0.014258038,-0.115549377,-0.147954866,,,,,1.76E+18
-0.003310621,-0.010916327,0.876606398,-0.481072861,-0.012994268,-0.120934713,-0.099781913,,,,,1.76E+18
-0.003287592,-0.01093345,0.876615128,-0.481056721,-0.012146975,-0.121120116,-0.025521136,,,,,1.76E+18
-0.003258108,-0.010972699,0.876610415,-0.481064617,-0.01337093,-0.132715084,0.048871786,,,,,1.76E+18
-0.003205404,-0.011045587,0.87659085,-0.481098952,-0.011252668,-0.168430143,0.106315016,,,,,1.76E+18
-0.003073967,-0.011159961,0.876596059,-0.48108768,-0.009682211,-0.127916197,-0.011547122,,,,,1.76E+18
-0.002979865,-0.011247686,0.876616166,-0.48104959,-0.005319002,-0.067068359,-0.150391264,,,,,1.76E+18
-0.002909643,-0.011346677,0.876639582,-0.481005022,-0.001383414,-0.131741761,-0.220301696,,,,,1.76E+18
