field.latitude,field.longitude,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.covariance0,field.twist.covariance0,,,,%time 
47.1160247,-88.5501933,0.099,0.413,0.006724,0.006724,,,,1.76E+18
47.1160252,-88.550193,0.428,0.497,0.005041,0.005041,,,,1.76E+18
47.116026,-88.5501929,0.206,0.782,0.009216,0.009216,,,,1.76E+18
47.1160267,-88.5501927,0.102,0.782,0.009801,0.009801,,,,1.76E+18
47.1160272,-88.5501926,0.08,0.604,0.008464,0.008464,,,,1.76E+18
47.116028,-88.5501925,-0.042,1.085,0.011236,0.011236,,,,1.76E+18
47.1160288,-88.5501925,-0.001,0.863,0.01,0.01,,,,1.76E+18
47.1160292,-88.5501923,0.128,0.454,0.008649,0.008649,,,,1.76E+18
47.1160296,-88.5501925,0.009,0.595,0.010404,0.010404,,,,1.76E+18
47.1160299,-88.5501924,0.082,0.349,0.009216,0.009216,,,,1.76E+18
47.1160301,-88.550192,0.338,0.147,0.006724,0.006724,,,,1.76E+18
47.11603,-88.5501916,0.274,-0.068,0.005184,0.005184,,,,1.76E+18
47.11603,-88.5501914,0.05,0.15,0.010201,0.010201,,,,1.76E+18
47.11603,-88.5501912,0.133,-0.034,0.006561,0.006561,,,,1.76E+18
47.1160299,-88.5501912,-0.01,-0.061,0.006561,0.006561,,,,1.76E+18
47.1160297,-88.5501912,0.037,-0.223,0.008836,0.008836,,,,1.76E+18
47.1160295,-88.550191,0.169,-0.239,0.008649,0.008649,,,,1.76E+18
47.1160292,-88.5501909,0.053,-0.284,0.007921,0.007921,,,,1.76E+18
47.116029,-88.5501908,0.096,-0.124,0.0064,0.0064,,,,1.76E+18
47.1160289,-88.5501907,0.084,-0.078,0.005625,0.005625,,,,1.76E+18
47.1160289,-88.5501906,0.105,-0.057,0.005476,0.005476,,,,1.76E+18
47.1160288,-88.5501903,0.208,-0.129,0.005776,0.005776,,,,1.76E+18
47.1160287,-88.5501901,0.157,-0.158,0.006084,0.006084,,,,1.76E+18
47.1160285,-88.5501898,0.213,-0.236,0.007225,0.007225,,,,1.76E+18
47.1160283,-88.5501898,0,-0.188,0.0064,0.0064,,,,1.76E+18
47.1160281,-88.5501897,0.047,-0.12,0.006724,0.006724,,,,1.76E+18
47.1160279,-88.5501895,0.101,-0.165,0.007396,0.007396,,,,1.76E+18
47.1160278,-88.5501894,0.105,-0.09,0.007569,0.007569,,,,1.76E+18
47.1160278,-88.5501892,0.122,-0.111,0.0081,0.0081,,,,1.76E+18
47.1160278,-88.5501892,0.027,-0.031,0.0064,0.0064,,,,1.76E+18
47.1160278,-88.550189,0.144,-0.045,0.007396,0.007396,,,,1.76E+18
47.1160278,-88.5501888,0.123,0.046,0.006561,0.006561,,,,1.76E+18
47.1160278,-88.5501891,-0.026,0.039,0.007569,0.007569,,,,1.76E+18
47.1160279,-88.5501891,0.079,0.094,0.006724,0.006724,,,,1.76E+18
47.1160281,-88.5501892,-0.006,0.196,0.0081,0.0081,,,,1.76E+18
47.1160282,-88.5501892,-0.064,0.303,0.010404,0.010404,,,,1.76E+18
47.1160283,-88.5501892,-0.031,0.036,0.008281,0.008281,,,,1.76E+18
47.1160283,-88.5501892,0.06,0.043,0.004489,0.004489,,,,1.76E+18
47.1160284,-88.5501891,-0.001,0.145,0.007921,0.007921,,,,1.76E+18
47.1160284,-88.5501891,0.044,0.068,0.004356,0.004356,,,,1.76E+18
47.1160285,-88.550189,0.001,0.077,0.006889,0.006889,,,,1.76E+18
47.1160285,-88.550189,-0.013,0.08,0.007569,0.007569,,,,1.76E+18
47.1160286,-88.5501891,-0.111,0.126,0.009216,0.009216,,,,1.76E+18
47.1160287,-88.5501891,-0.005,0.017,0.007225,0.007225,,,,1.76E+18
47.1160287,-88.5501892,-0.042,0.078,0.01,0.01,,,,1.76E+18
47.1160288,-88.5501892,-0.023,0.052,0.01,0.01,,,,1.76E+18
47.1160288,-88.5501892,-0.056,0.026,0.0064,0.0064,,,,1.76E+18
47.1160289,-88.5501893,-0.044,0.032,0.007056,0.007056,,,,1.76E+18
47.1160289,-88.5501893,0.003,0.012,0.005329,0.005329,,,,1.76E+18
47.1160289,-88.5501893,0.006,-0.019,0.009025,0.009025,,,,1.76E+18
47.1160288,-88.5501893,-0.002,-0.084,0.007921,0.007921,,,,1.76E+18
47.1160288,-88.5501893,-0.011,-0.034,0.006889,0.006889,,,,1.76E+18
47.1160288,-88.5501893,-0.042,-0.006,0.003249,0.003249,,,,1.76E+18
47.1160288,-88.5501893,0.022,0.064,0.006241,0.006241,,,,1.76E+18
47.1160289,-88.5501892,0.114,0.13,0.004356,0.004356,,,,1.76E+18
47.116029,-88.5501891,0.1,0.193,0.005776,0.005776,,,,1.76E+18
47.1160292,-88.550189,0.068,0.161,0.006561,0.006561,,,,1.76E+18
47.1160293,-88.5501889,0.054,0.142,0.0064,0.0064,,,,1.76E+18
